rank,first_name,last_name,team,position,gp,shoots,goals,assists,points,ppg
554,Brian,Yandle,Cushing Academy,F,15,L,1,3,4,0.27
555,Jai,Perry-Pereira,St. Paul's School,F,16,R,2,2,4,0.25
556,James,Hamlin,Roxbury Latin,F,10,R,2,2,4,0.4
557,Tucker,O'Neil,Holderness,D,12,R,1,3,4,0.33
558,Trey,Hanson,Governors Academy,F,14,R,1,3,4,0.29
559,Alex,Taylor,Frederick Gunn,F,15,R,2,2,4,0.27
560,Brady,Harris,Austin Prep,D,17,L,1,3,4,0.24
561,Brady,Ellis,Lawrence Academy,C,13,R,2,2,4,0.31
562,Luke,Sardone,Middlesex,F,10,R,2,2,4,0.4
563,Jacob,Jett,Avon Old Farms,F,11,L,1,3,4,0.36
564,Joey,Carpentieri,Austin Prep,D,17,R,2,2,4,0.24
565,Chace,Kivlehan,Austin Prep,F,17,R,1,3,4,0.24
566,Patrick,Quill,Austin Prep,F,17,R,1,3,4,0.24
567,Raphael,Aberbach,Groton,F,13,L,1,3,4,0.31
568,Cal,Hoyt,Williston-Northampton,F,15,R,1,3,4,0.27
569,Gleb,Kokorin,Cushing Academy,D,14,R,0,4,4,0.29
570,Matteo,Di Marzo,Westminster,D,9,L,0,4,4,0.44
571,Russell,Louie,Andover,F,15,L,0,4,4,0.27
572,Tayvin,Frongello,Dexter,D,16,L,0,4,4,0.25
573,Cliff,Hedges,Hebron,D,15,,0,4,4,0.27
574,Curtis,Brown,North Yarmouth,F,20,L,0,4,4,0.2
575,Travis,Chatwin,Albany Academy,D,18,R,0,4,4,0.22
576,Esref,Erkmen,Millbrook,D,19,L,0,4,4,0.21
577,Nicholas,Lapointe,Hebron,F,15,,0,4,4,0.27
578,Colin,O'Leary,St. Paul's School,D,16,L,0,4,4,0.25
579,Gavin,Code,St. Paul's School,F,16,R,0,4,4,0.25
580,Frank,Tillinghast,Worcester Academy,D,13,L,0,4,4,0.31
581,Matyas,Matl,Kents Hill,D,16,R,0,4,4,0.25
582,Tyler,Beaudoin,Westminster,F,11,R,0,4,4,0.36
583,Michael,Shaw,Milton Academy,D,16,L,0,4,4,0.25
584,Cam,Cataruzolo,Roxbury Latin,F,10,L,0,4,4,0.4
585,Sean,Farrell,Pomfret,D,16,,0,4,4,0.25
586,Matthew,Koch,Avon Old Farms,D,11,L,0,4,4,0.36
587,Keegan,Hunt,New Hampton,D,17,R,0,4,4,0.24
588,Nathan,Roy,Kents Hill,D,16,R,0,4,4,0.25
589,Christopher,Saint-Phard,Kimball Union,F,20,,3,0,3,0.15
590,Patrick,Cerullo,Frederick Gunn,F,15,L,2,1,3,0.2
591,Connor,Leminen,Pingree,D,13,,2,1,3,0.23
592,Cam,McDonough,Cushing Academy,C,15,L,2,1,3,0.2
593,Tommy,Nicolopolous,St. Marks,D,12,,1,2,3,0.25
594,Steven,Burke,Brewster,F,7,,2,1,3,0.43
595,Matteo,Sollazzo,Brewster,D,7,,2,1,3,0.43
596,Peter,Gilraine,Austin Prep,F,17,R,1,2,3,0.18
597,Charlie,Davis,Westminster,F,9,L,1,2,3,0.33
598,Henry,Zidek,The Hill School,F,16,R,2,1,3,0.19
599,Tyler,Branch,Brewster,F,7,,2,1,3,0.43
600,Kevin,Bertrand,Hebron,F,15,,3,0,3,0.2
601,Matty,Hanrahan,Westminster,F,11,L,2,1,3,0.27
602,Whit,Denzin,Frederick Gunn,F,15,L,2,1,3,0.2
603,Brady,Lee,Lawrenceville School,D,11,R,2,1,3,0.27
604,Caden,Desjardins,Berwick,F,15,L,2,1,3,0.2
605,Yoshiki,Chitose,Choate Rosemary Hall,F,11,R,2,1,3,0.27
606,Cole,Bradford,Brooks School,F,11,L,2,1,3,0.27
607,Karolis,Janulis,Lawrence Academy,F,13,L,2,1,3,0.23
608,Alejandro,Hassan,Groton,F/D,13,L,3,0,3,0.23
609,Christopher,Marques,Tilton,D,15,R,1,2,3,0.2
610,Dylan,Rothstein,Taft,F,10,R,1,2,3,0.3
611,Will,Gerst,Proctor Academy,F,16,R,2,1,3,0.19
612,Braiden,Moriarty,Worcester Academy,F,13,R,1,2,3,0.23
613,Kai,Bara,Brooks School,F,11,R,2,1,3,0.27
614,Joe,Meade,Roxbury Latin,F,10,L,3,0,3,0.3
615,Deniz,Unal,Noble & Greenough,D,13,R,1,2,3,0.23
616,Cam,Sadak,Williston-Northampton,F,15,R,1,2,3,0.2
617,Aiden,Shou,Lawrenceville School,F,11,R,1,2,3,0.27
618,Joey,Gualtieri,Hebron,F,15,,1,2,3,0.2
619,Caleb,North,Canterbury,F,15,R,3,0,3,0.2
620,Ryan,Hecker,Avon Old Farms,D,11,R,1,2,3,0.27
621,Richard,Jenkins,New Hampton,D,17,L,1,2,3,0.18
622,Chase,Mallin,Hebron,F,15,,2,1,3,0.2
623,Andy,Haban,NMH,F,15,L,2,1,3,0.2
624,Davyd,Jefferies,Hebron,F,15,,2,1,3,0.2
625,Tedy,Hannon,Tilton,F,14,L,2,1,3,0.21
626,Jack,Kang,Choate Rosemary Hall,F,11,R,1,2,3,0.27
627,Bear,Tang,BB&N,F,11,L,2,1,3,0.27
628,Nolan,Sweeney,Tabor,D,11,L,1,2,3,0.27
629,Nao,Dutil,The Hill School,D,15,L,1,2,3,0.2
630,Daniel,Raff Cohen,Williston-Northampton,F,15,R,1,2,3,0.2
631,Ollie,Manning,St. Sebastian's,D,12,R,2,1,3,0.25
632,Andrew,Marcucci,New Hampton,D,11,L,2,1,3,0.27
633,Shane,Flanagan,The Hill School,F,16,R,2,1,3,0.19
634,Evan,Williams,Hotchkiss School,D,10,L,2,1,3,0.3
635,Nico,Potts,Governors Academy,F,14,R,1,2,3,0.21
636,Andrew,Martineau,Canterbury,F,15,L,1,2,3,0.2
637,Nolan,Hartman,BB&N,F,11,L,2,1,3,0.27
638,Daniel,Maglathlin,Winchendon,D,16,L,2,1,3,0.19
639,Brian,Whitecross,Roxbury Latin,F,10,L,2,1,3,0.3
640,Eben,Alden,Noble & Greenough,D,13,R,1,2,3,0.23
641,Ben,Levering,Noble & Greenough,F,13,,1,2,3,0.23
642,Parfen,Adbin,Kents Hill,D,16,L,2,1,3,0.19
643,Zach,Noxon,Rivers School,F,10,L,1,2,3,0.3
644,Leo,Packard,Middlesex,F,10,R,2,1,3,0.3
645,Ryan,Kiyonaga,Albany Academy,F,15,R,1,2,3,0.2
646,Carson,Lowry,Taft,F,10,L,1,2,3,0.3
647,Marcus,Pukel,Brooks School,,11,,1,2,3,0.27
648,Ethen,Fines,Williston-Northampton,F,14,R,1,2,3,0.21
649,Colby,Mara,Lawrence Academy,D,13,L,1,2,3,0.23
650,Emmett,Aufiero,Belmont Hill,D,15,,1,2,3,0.2
651,Wyatt,Langway,Pingree,D,13,R,1,2,3,0.23
652,William,Lefebvre,Exeter,D,14,R,0,3,3,0.21
653,Zennon,Turnovitski,Berkshire School,D,17,L,0,3,3,0.18
654,Carter,Rowles,Hoosac,F,9,L,0,3,3,0.33
655,Patrick,Benson,Rivers School,F,10,R,0,3,3,0.3
656,Cam,Daley,Dexter,D,16,R,0,3,3,0.19
657,Maxwell,Rusov,Brewster,F,7,,0,3,3,0.43
658,Liam,Wachob,The Hill School,F,16,R,0,3,3,0.19
659,Nicholas,Denon,Hoosac,D,9,R,0,3,3,0.33
660,Gavin,Smith,Westminster,D,11,R,0,3,3,0.27
661,Christian,Marsh,Pingree,F,13,R,0,3,3,0.23
662,Ian,Beauparlant,Brooks School,F,10,L,0,3,3,0.3
663,Joe,Orszulak,Loomis Chaffee,F,12,L,0,3,3,0.25
664,Matt,Brooks,Millbrook,D,19,R,0,3,3,0.16
665,Max,Sullivan,Holderness,D,10,L,0,3,3,0.3
666,Cody,Hew,Canterbury,G,15,L,0,3,3,0.2
667,Jacob,Bellinger,Groton,F,13,,0,3,3,0.23
668,Nolan,Nassar,Governors Academy,D,14,R,0,3,3,0.21
669,Karl,Warren,NMH,F,16,R,0,3,3,0.19
670,Harry,Jackson,Brooks School,D,10,R,0,3,3,0.3
671,Mikey,Covelluzzi,Pingree,D,13,R,0,3,3,0.23
672,Andy,Zhang,Lawrenceville School,F,11,R,0,3,3,0.27
673,Lexi,Kert,Choate Rosemary Hall,D,11,L,0,3,3,0.27
674,Brayden,Robinson,Milton Academy,D,16,R,0,3,3,0.19
675,Zachary,Gill,Salisbury School,D,12,,0,3,3,0.25
676,Shane,Devin,Thayer Academy,D,14,L,0,3,3,0.21
677,Dylan,Mallgrave,Kent School,D,12,R,0,3,3,0.25
678,Harrison,Freelove,Holderness,F,11,R,0,3,3,0.27
679,Brady,Andrews,Austin Prep,D,17,R,0,3,3,0.18
680,Adam,Pelletier,North Yarmouth,D,20,L,0,3,3,0.15
681,Max,Gerum,Pomfret,D,16,R,0,3,3,0.19
682,Owen,Morris,Choate Rosemary Hall,F,11,R,0,3,3,0.27
683,Tyler,Miocevich,Andover,D,15,L,0,3,3,0.2
684,Josh,Freeman,Brooks School,D,11,,0,3,3,0.27
685,Niko,Tzouganatos,St. Marks,D,12,,0,3,3,0.25
686,Ned,Akashian,Exeter,F,14,L,1,1,2,0.14
687,Josh,Timone,Berkshire School,F,17,R,1,1,2,0.12
688,Leo,Chen,Berkshire School,F,17,L,2,0,2,0.12
689,Jeremy,See,Albany Academy,D,18,L,1,1,2,0.11
690,Harry,Stubbert,New Hampton,D,17,R,2,0,2,0.12
691,Liam,Miga,Pingree,F,13,R,2,0,2,0.15
692,Declan,Dupre,Kents Hill,D,16,L,1,1,2,0.13
693,Hayden,Hunter,Tilton,F,13,R,2,0,2,0.15
694,Miroslav,Fedor,NMH,D,16,L,1,1,2,0.13
695,Jeremy,Polzer,Milton Academy,F,15,R,1,1,2,0.13
696,Benjamin,Short,Winchendon,F,6,L,1,1,2,0.33
697,Topher,Jones,Taft,D,10,L,2,0,2,0.2
698,Tucker,Montecalvo,Berwick,F,15,R,1,1,2,0.13
699,Daniel,Peate,Avon Old Farms,F,11,R,2,0,2,0.18
700,Sean,Millen,Avon Old Farms,F,4,L,1,1,2,0.5
701,Henry,Hao,NMH,F,13,L,1,1,2,0.15
702,Jorden,Marzi,Rivers School,D,10,L,1,1,2,0.2
703,Colin,Driscoll,Pingree,F,12,L,2,0,2,0.17
704,Dylan,Ness,Westminster,F,7,L,1,1,2,0.29
705,Brody,Baum,Millbrook,F,15,R,1,1,2,0.13
706,Alex,Zaneski,Noble & Greenough,F,13,L,1,1,2,0.15
707,Nathan,Rooney,Thayer Academy,D,10,L,1,1,2,0.2
708,Bauer,Gammill,Berkshire School,F,17,L,1,1,2,0.12
709,Alex,Chiesi,Kent School,D,13,R,1,1,2,0.15
710,Adam,Krogmeier,Governors Academy,D,14,R,1,1,2,0.14
711,Jake,Pleau,Westminster,F,11,L,1,1,2,0.18
712,Scott,Crabtree,BB&N,D,10,L,1,1,2,0.2
713,Ryder,Tremblay,Loomis Chaffee,D,12,R,1,1,2,0.17
714,Alex,Vogel,Hebron,F,15,,1,1,2,0.13
715,Luca,Desjardins,Salisbury School,F,12,,2,0,2,0.17
716,Jake,Doherty,Hotchkiss School,F,10,L,1,1,2,0.2
717,Colin,Yandle,Cushing Academy,D,15,R,2,0,2,0.13
718,Marco,Linton,Milton Academy,F,16,R,1,1,2,0.13
719,Tommy,Zine,Noble & Greenough,F,13,R,1,1,2,0.15
720,Harry,Rubin,New Hampton,F,17,L,1,1,2,0.12
721,Charlie,Ness,Thayer Academy,F,14,R,2,0,2,0.14
722,Jack,Green,Lawrenceville School,D,11,L,2,0,2,0.18
723,Chase,Field,Lawrence Academy,F,12,L,1,1,2,0.17
724,Ryan,Barlow,The Hill School,F,16,L,1,1,2,0.13
725,John Michael,Mugavero,The Hill School,F,13,R,1,1,2,0.15
